city,cy,cx
阿克苏,41.188341,80.293842
阿勒泰,47.89013573,87.92621436
安庆,30.53789782,117.0587388
包头,40.64711943,109.8462385
保山,25.1204892,99.17799561
北海,21.47271824,109.1226279
北京,39.92998578,116.395645
百色,23.90151237,106.6318214
长春,43.89833761,125.3136424
长沙,28.21347823,112.9793528
长治,36.20166439,113.1202921
常德,29.01214886,111.6537181
常州,31.77139674,119.981861
成都,30.67994285,104.0679235
赤峰,42.29711232,118.9307612
重庆,29.54460611,106.530635
昌都,31.145369,97.18425
朝阳,41.589103,120.446573
达州,31.21419886,107.4949734
大理,25.69396662,100.219209
大连,38.94870994,121.5934778
丹东,40.12902283,124.3385431
东营,37.40866629,118.6126431
敦煌,40.174113,94.792135
大同,40.12684,113.311035
大庆,46.59670902,125.0218397
鄂尔多斯,39.81648956,109.9937063
恩施,30.30897851,109.5174327
福州,26.0471255,119.3302211
阜阳,32.90121133,115.8209323
赣州,25.84529554,114.9359091
格尔木,36.40762,94.909603
广州,23.1200491,113.3076497
贵阳,26.62990674,106.7091771
桂林,25.26290125,110.2609201
哈尔滨,45.77322463,126.6577169
海口,20.02207128,110.3308018
哈密,42.3444671,93.52937301
海拉尔,49.27924546,120.0428821
邯郸,36.60930793,114.4826939
汉中,33.08156898,107.0454776
杭州,30.25924446,120.2193754
合肥,31.86694226,117.2826991
和田,37.15334974,79.91581373
黑河,50.25069009,127.5008303
呼和浩特,40.82831887,111.6603505
黄山,29.72189,118.345437
济南,36.68278473,117.0249671
济宁,35.40212166,116.6007976
佳木斯,46.8137796,130.2847346
嘉峪关,39.80239733,98.28163459
锦州,41.13087888,121.1477487
井冈山,26.63314954,114.1254392
景德镇,29.30356277,117.1865226
鸡西,45.32153989,130.9417673
喀什,39.51311059,76.0143428
库尔勒,41.70549991,85.7094176
昆明,25.0491531,102.7146011
克拉玛依,45.20391925,84.92698963
拉萨,29.66255706,91.1118909
兰州,36.06422553,103.8233054
丽江,26.87535109,100.2296284
连云港,34.60154897,119.1738722
临沧,23.8878061,100.0926129
临沂,35.07240907,118.3407682
柳州,24.32905335,109.4224018
泸州,28.8959298,105.4439703
洛阳,34.65736782,112.4475248
满洲里,49.50003172,117.6036868
芒市,24.37681138,98.38210533
绵阳,31.50470126,104.705519
牡丹江,44.58852115,129.6080354
梅县,24.36478244,116.1710273
漠河,52.94565862,122.7157208
南昌,28.689578,115.8935275
南充,30.80096517,106.105554
南京,32.0572355,118.7780744
南宁,22.80649294,108.2972336
南通,32.01466454,120.873801
南阳,33.01141957,112.5428419
宁波,29.88525897,121.579006
攀枝花,26.58757126,101.7224232
齐齐哈尔,47.34769981,123.9872889
青岛,36.1052149,120.3844282
衢州,28.95691045,118.8758417
三亚,18.25777591,109.5227713
上海,31.24916171,121.4878995
深圳,22.54605355,114.0259737
沈阳,41.80864478,123.4327909
石家庄,38.04895831,114.5220818
塔城,46.81136714,83.19012766
太原,37.89027705,112.5508636
台州,28.66828329,121.4406129
天津,39.1439299,117.2108131
通辽,43.63375607,122.2603633
铜仁,27.67490269,109.168558
天水,34.58431942,105.7369316
万州,30.71005418,108.4134386
威海,37.52878708,122.0939584
潍坊,36.71611487,119.1426338
温州,28.00283759,120.6906347
乌海,39.68317701,106.8319991
乌兰浩特,46.11694357,122.0815338
乌鲁木齐,43.84038035,87.56498774
无锡,31.57003745,120.3054559
武汉,30.58108413,114.3162001
武夷山,27.74813517,118.0115426
梧州,23.48539464,111.305472
西安,34.347507,108.951064
西昌,27.8633774,102.1178879
西宁,36.64073861,101.767921
西双版纳,22.009433,100.8030383
锡林浩特,44.07896113,116.1369483
厦门,24.48923061,118.103886
香格里拉,27.86668083,99.85507644
徐州,34.27155343,117.1881066
兴义,25.00254377,104.8578372
烟台,37.53656156,121.309555
延安,36.60332035,109.5005098
延吉,43.0596666,129.4713015
盐城,33.37986188,120.1488718
伊宁,44.02035582,81.28904807
宜宾,28.7696748,104.6330191
宜昌,30.73275782,111.3109811
义乌,29.30644391,120.0672956
银川,38.50262101,106.2064786
永州,26.43597165,111.6146477
榆林,38.27943924,109.7459257
运城,35.03885948,111.0068537
伊春,47.74195924,128.9005796
玉树,32.90657463,96.71235012
湛江,21.2574631,110.3650673
张家界,29.12488935,110.4816202
昭通,27.34063296,103.7250207
郑州,34.75661006,113.6496439
舟山,30.0360103,122.1698721
珠海,22.25691465,113.562447
芷江,27.40251042,109.6111049
